idi,idj,farmi,farmj,bmai,bmaj,dij1,dij2,dij3,dij4,dij5,dij6,dij7,dij8,dij9,dij10,dij11,dij12,dij13,dij14,fbi,fbj,farmij,bma1
19,83,349,25,2B,2A,39811.254,1783.0817,1756.8007,1727.3972,39818.113,40327.098,54007.352,141135,250924.25,164768.81,163997.41,163033.61,161544.52,39706.906,3-349,2-25,34925,
19,85,349,26,2B,2A,39027.336,1729.7528,1704.3165,1673.1752,39033.184,39462.078,51580.594,131491.8,232378.19,161402.72,161161.33,160136.06,158365.75,38958.379,3-349,2-26,34926,
19,82,349,27,2B,2A,39595.555,1776.3447,1751.1487,1718.1035,39602.785,40143.344,53766.379,139505.94,247847.8,164629.48,164153.17,163205.44,161492.47,39541.383,3-349,2-27,34927,
19,77,349,276,2B,2A,39104.578,1824.0658,1802.4926,1776.8894,39112.074,39657.313,53237.992,148082.86,271067.56,170082.63,169650.13,168969.52,168488.45,39026.188,3-349,2-276,349276,
19,79,349,29,2B,2A,39329.125,1759.6417,1736.0648,1711.4764,39334.895,39761.563,52547.527,133890.17,236890.25,164411.03,163769.77,162831.53,161305.28,39199.934,3-349,2-29,34929,
19,80,349,32,2B,2A,39393.938,1815.3083,1784.1238,1749.4082,39400.031,39851.527,53081.215,135811.91,240292.89,166939.25,166504.64,165648.77,164375.31,39335.973,3-349,2-32,34932,
19,96,349,33,2B,2A,42327.957,1899.4059,1859.053,1817.1206,42334.738,42848.734,59482.715,168143.81,306837.63,170018.39,168527.78,167576.34,166430.36,42283.996,3-349,2-33,34933,
19,95,349,34,2B,2A,41782.957,1892.0884,1854.947,1810.136,41789.559,42287,58223.148,163027.41,296754.59,169425.25,168477.84,167589.03,166406.45,41759.77,3-349,2-34,34934,
19,76,349,37,2B,2A,40728.918,1877.3787,1845.5045,1805.2729,40735.586,41238.68,56084.094,158095.2,287193.03,168334.75,167808.95,166906.95,165745.66,40650.164,3-349,2-37,34937,
19,20,349,2,2B,2B,638.93488,40,38.424747,29.661636,638.94873,640.3147,749.09271,1834.9873,3425.1956,842.67999,780.89703,724.44379,545.79211,582.88367,3-349,3-2,3492,
19,19,349,349,2B,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3-349,3-349,349349,
19,21,349,350,2B,2B,1221.8011,71.721085,68.518143,59.216736,1221.8831,1229.7552,1647.6891,4681.9761,8870.4297,1735.1118,1611.9506,1422.2156,1192.51,1165.7673,3-349,3-350,349350,
19,72,349,378,2B,3A,39733.41,1657.9637,1618.5931,1577.6583,39742.098,40120.648,50425.906,120877.71,214091.17,130459.58,129452.62,128195.35,127858.8,39658.805,3-349,4-378,349378,
19,70,349,400,2B,3A,43039.359,1900.1837,1892.0321,1884.2932,43040.938,43194.543,52742.945,127031.27,224862.23,169683.47,169202.14,168836.52,167846.23,43008.766,3-349,4-400,349400,
19,67,349,404,2B,3A,48471.492,2419.3809,2412.1707,2407.1563,48472.48,48569.605,55743.441,122973.29,218441.11,190733.02,190498.47,190326.38,189988.78,48488.66,3-349,4-404,349404,
19,68,349,412,2B,3A,47714.168,2187.8708,2176.6174,2166.7363,47715.32,47828.141,55735.551,127773.46,224496.91,183214.14,182502.2,182016.31,180987.38,47704.5,3-349,4-412,349412,
